dateTime,discharge(cfs),site_id,lat,long,estimated_discharge,norm_discharge_cfs,max_potential_power_mw,actual_power_mw,potential_cap_mw,capacity_factor
2013-01-01 00:00:00+00:00,1.07,7241000,35.47866848,-97.6633752,1.07,1.07,0.0,0.0,5.169359085,0.0
2013-01-01 01:00:00+00:00,1.07,7241000,35.47866848,-97.6633752,1.07,1.07,0.0,0.0,5.169359085,0.0
2013-01-01 02:00:00+00:00,1.07,7241000,35.47866848,-97.6633752,1.07,1.07,0.0,0.0,5.169359085,0.0
2013-01-01 03:00:00+00:00,1.07,7241000,35.47866848,-97.6633752,1.07,1.07,0.0,0.0,5.169359085,0.0
2013-01-01 04:00:00+00:00,1.07,7241000,35.47866848,-97.6633752,1.07,1.07,0.0,0.0,5.169359085,0.0
2013-01-01 05:00:00+00:00,1.07,7241000,35.47866848,-97.6633752,1.07,1.07,0.0,0.0,5.169359085,0.0
2013-01-01 06:00:00+00:00,1.07,7241000,35.47866848,-97.6633752,1.07,1.07,0.0,0.0,5.169359085,0.0
2013-01-01 07:00:00+00:00,1.07,7241000,35.47866848,-97.6633752,1.07,1.07,0.0,0.0,5.169359085,0.0
2013-01-01 08:00:00+00:00,1.07,7241000,35.47866848,-97.6633752,1.07,1.07,0.0,0.0,5.169359085,0.0
2013-01-01 09:00:00+00:00,1.07,7241000,35.47866848,-97.6633752,1.07,1.07,0.0,0.0,5.169359085,0.0
2013-01-01 10:00:00+00:00,1.07,7241000,35.47866848,-97.6633752,1.07,1.07,0.0,0.0,5.169359085,0.0
2013-01-01 11:00:00+00:00,1.07,7241000,35.47866848,-97.6633752,1.07,1.07,0.0,0.0,5.169359085,0.0
2013-01-01 12:00:00+00:00,1.07,7241000,35.47866848,-97.6633752,1.07,1.07,0.0,0.0,5.169359085,0.0
2013-01-01 13:00:00+00:00,1.07,7241000,35.47866848,-97.6633752,1.07,1.07,0.0,0.0,5.169359085,0.0
2013-01-01 14:00:00+00:00,1.07,7241000,35.47866848,-97.6633752,1.07,1.07,0.0,0.0,5.169359085,0.0
2013-01-01 15:00:00+00:00,1.07,7241000,35.47866848,-97.6633752,1.07,1.07,0.0,0.0,5.169359085,0.0
2013-01-01 16:00:00+00:00,1.07,7241000,35.47866848,-97.6633752,1.07,1.07,0.0,0.0,5.169359085,0.0
2013-01-01 17:00:00+00:00,1.07,7241000,35.47866848,-97.6633752,1.07,1.07,0.0,0.0,5.169359085,0.0
2013-01-01 18:00:00+00:00,1.07,7241000,35.47866848,-97.6633752,1.07,1.07,0.0,0.0,5.169359085,0.0
2013-01-01 19:00:00+00:00,1.07,7241000,35.47866848,-97.6633752,1.07,1.07,0.0,0.0,5.169359085,0.0
2013-01-01 20:00:00+00:00,1.07,7241000,35.47866848,-97.6633752,1.07,1.07,0.0,0.0,5.169359085,0.0
2013-01-01 21:00:00+00:00,1.07,7241000,35.47866848,-97.6633752,1.07,1.07,0.0,0.0,5.169359085,0.0
2013-01-01 22:00:00+00:00,1.07,7241000,35.47866848,-97.6633752,1.07,1.07,0.0,0.0,5.169359085,0.0
